;Version;Date_of_report;Date_of_statistics;IC_admission_notification;IC_admission
313;1;2022-02-03 00:30:00;2021-01-05;47;55
314;1;2022-02-03 00:30:00;2021-01-06;46;46
315;1;2022-02-03 00:30:00;2021-01-07;37;36
316;1;2022-02-03 00:30:00;2021-01-08;42;44
317;1;2022-02-03 00:30:00;2021-01-09;35;32
318;1;2022-02-03 00:30:00;2021-01-10;31;31
319;1;2022-02-03 00:30:00;2021-01-11;35;39
320;1;2022-02-03 00:30:00;2021-01-12;48;45
321;1;2022-02-03 00:30:00;2021-01-13;33;36
322;1;2022-02-03 00:30:00;2021-01-14;31;34
323;1;2022-02-03 00:30:00;2021-01-15;37;37
324;1;2022-02-03 00:30:00;2021-01-16;30;27
325;1;2022-02-03 00:30:00;2021-01-17;31;37
326;1;2022-02-03 00:30:00;2021-01-18;49;41
327;1;2022-02-03 00:30:00;2021-01-19;28;34
328;1;2022-02-03 00:30:00;2021-01-20;32;33
329;1;2022-02-03 00:30:00;2021-01-21;44;40
330;1;2022-02-03 00:30:00;2021-01-22;35;35
331;1;2022-02-03 00:30:00;2021-01-23;37;34
332;1;2022-02-03 00:30:00;2021-01-24;26;26
333;1;2022-02-03 00:30:00;2021-01-25;43;53
334;1;2022-02-03 00:30:00;2021-01-26;44;34
335;1;2022-02-03 00:30:00;2021-01-27;36;28
336;1;2022-02-03 00:30:00;2021-01-28;39;43
337;1;2022-02-03 00:30:00;2021-01-29;33;27
338;1;2022-02-03 00:30:00;2021-01-30;24;32
339;1;2022-02-03 00:30:00;2021-01-31;26;35
340;1;2022-02-03 00:30:00;2021-02-01;40;29
341;1;2022-02-03 00:30:00;2021-02-02;28;28
342;1;2022-02-03 00:30:00;2021-02-03;31;30
343;1;2022-02-03 00:30:00;2021-02-04;25;25
344;1;2022-02-03 00:30:00;2021-02-05;26;19
345;1;2022-02-03 00:30:00;2021-02-06;14;20
346;1;2022-02-03 00:30:00;2021-02-07;19;22
347;1;2022-02-03 00:30:00;2021-02-08;36;32
348;1;2022-02-03 00:30:00;2021-02-09;25;19
349;1;2022-02-03 00:30:00;2021-02-10;22;28
350;1;2022-02-03 00:30:00;2021-02-11;33;32
351;1;2022-02-03 00:30:00;2021-02-12;30;33
352;1;2022-02-03 00:30:00;2021-02-13;20;22
353;1;2022-02-03 00:30:00;2021-02-14;22;26
354;1;2022-02-03 00:30:00;2021-02-15;45;35
355;1;2022-02-03 00:30:00;2021-02-16;27;39
356;1;2022-02-03 00:30:00;2021-02-17;43;36
357;1;2022-02-03 00:30:00;2021-02-18;35;25
358;1;2022-02-03 00:30:00;2021-02-19;25;31
359;1;2022-02-03 00:30:00;2021-02-20;31;40
360;1;2022-02-03 00:30:00;2021-02-21;39;36
361;1;2022-02-03 00:30:00;2021-02-22;37;32
362;1;2022-02-03 00:30:00;2021-02-23;39;25
363;1;2022-02-03 00:30:00;2021-02-24;19;30
364;1;2022-02-03 00:30:00;2021-02-25;51;47
365;1;2022-02-03 00:30:00;2021-02-26;25;29
366;1;2022-02-03 00:30:00;2021-02-27;26;20
367;1;2022-02-03 00:30:00;2021-02-28;26;42
368;1;2022-02-03 00:30:00;2021-03-01;46;50
369;1;2022-02-03 00:30:00;2021-03-02;50;39
370;1;2022-02-03 00:30:00;2021-03-03;47;34
371;1;2022-02-03 00:30:00;2021-03-04;36;42
372;1;2022-02-03 00:30:00;2021-03-05;34;36
373;1;2022-02-03 00:30:00;2021-03-06;32;38
